          12
$structures
Structure    1
          -11
  1.5635310     -1.2333410
  1.5984000     -1.2325000
  1.6361000     -0.9965001
  1.6527000     -0.9507000
  1.6764000     -0.9083000
  1.7096000     -0.8543000
  1.7949000     -0.7330000
  1.8347000     -0.6860000
  1.9524000     -0.5633000
  1.9620000     -0.5611000
  1.9685290     -0.5611726
Structure    2
          -15
  1.1363010     -0.6512800
  1.1369000     -0.6513000
  1.1431000     -0.6557000
  1.1836000     -0.7189001
  1.2486000     -0.8210000
  1.2718000     -0.8632001
  1.2860000     -0.9029000
  1.2930000     -0.9445000
  1.2930000     -0.9772000
  1.2843000     -1.0090000
  1.2654000     -1.0501000
  1.2372000     -1.0980000
  1.2337000     -1.1122000
  1.2352000     -1.1268000
  1.2409070     -1.1395520
Structure    3
           -4
  1.4752580      1.2083440
  1.3302000      1.0893000
  1.1300000      0.8240001
  1.1295000      0.8200000
Structure    4
           -2
  1.4920580      1.2041220
  1.4751450      1.2082870
Structure    5
           -5
  1.8000410      1.0905330
  1.7990000      1.0850000
  1.7920000      1.0830000
  1.6436000      1.1388000
  1.4910000      1.2044000
Structure    6
           -2
  1.7999530      1.0905270
  1.9627690      0.8856941
Structure    7
           -6
  2.1432000      0.5498000
  2.1430000      0.5500000
  1.9435000      0.8770000
  1.9450000      0.8820000
  1.9517000      0.8860000
  1.9634750      0.8860237
Structure    8
          -13
  1.1297830      0.8231811
  1.1644400      0.7689300
  1.1248600      0.6338770
  1.0933700      0.4988240
  1.0696600      0.3637710
  1.0535000      0.2287180
  1.0447500      0.0936650
  1.0433400     -0.0413880
  1.0495000     -0.1800330
  1.0635000     -0.3192080
  1.0845000     -0.4531910
  1.1117300     -0.5816000
  1.1365600     -0.6513200
Structure    9
          -15
  1.9685290     -0.5611726
  2.0669240     -0.3963661
  2.0972100     -0.3391730
  2.1311300     -0.2628660
  2.1588600     -0.1840990
  2.1802200     -0.1033730
  2.1950900     -0.0212021
  2.2033600      0.0618921
  2.2049800      0.1453810
  2.1999500      0.2287340
  2.1882900      0.3114210
  2.1700900      0.3929170
  2.1454400      0.4727030
  2.1300000      0.5170000
  2.1432920      0.5503190
Structure   10
           -7
  1.2792650     -1.1224550
  1.2799000     -1.0980000
  1.3239000     -1.0627000
  1.4608000     -1.0626000
  1.5436000     -1.1647000
  1.5453000     -1.1864000
  1.5421220     -1.1973230
Structure   11
           -2
  1.2406170     -1.1396020
  1.2793910     -1.1222630
Structure   12
           -2
  1.5421220     -1.1970170
  1.5638080     -1.2334880
